Index Name,Date,Open,High,Low,Close
NIFTY 500,30-04-2025,22119.2,22175.0,21920.55,22030.05
NIFTY 500,02-05-2025,22009.95,22238.9,21920.85,22006.0
NIFTY 500,05-05-2025,22086.25,22209.95,22070.95,22195.15
NIFTY 500,06-05-2025,22235.6,22244.5,21916.9,21956.6
NIFTY 500,07-05-2025,21756.8,22084.7,21752.9,22072.45
NIFTY 500,08-05-2025,22109.35,22145.2,21730.55,21843.05
NIFTY 500,09-05-2025,21463.75,21716.05,21463.75,21675.55
NIFTY 500,12-05-2025,22149.4,22525.0,22126.4,22511.4
NIFTY 500,13-05-2025,22491.5,22575.7,22317.5,22349.4
NIFTY 500,14-05-2025,22402.65,22544.9,22366.4,22499.5
NIFTY 500,15-05-2025,22547.05,22814.1,22408.65,22788.8
NIFTY 500,16-05-2025,22825.55,22885.35,22750.35,22870.9
NIFTY 500,19-05-2025,22896.25,22965.05,22827.65,22865.8
NIFTY 500,20-05-2025,22942.65,22958.6,22565.55,22585.6
NIFTY 500,21-05-2025,22632.4,22811.95,22577.4,22730.65
NIFTY 500,22-05-2025,22674.0,22675.35,22464.45,22595.0
NIFTY 500,23-05-2025,22628.75,22813.25,22580.8,22781.05
NIFTY 500,26-05-2025,22852.7,22970.7,22845.4,22908.3
NIFTY 500,27-05-2025,22895.05,22963.1,22721.8,22816.5
NIFTY 500,28-05-2025,22843.25,22871.2,22765.7,22779.4
NIFTY 500,29-05-2025,22859.45,22899.15,22750.15,22861.35
NIFTY 500,30-05-2025,22868.25,22912.3,22759.15,22801.95
NIFTY 500,02-06-2025,22758.6,22863.35,22664.15,22834.5
NIFTY 500,03-06-2025,22906.2,22946.15,22691.25,22711.3
NIFTY 500,04-06-2025,22742.2,22823.95,22667.9,22807.85
NIFTY 500,05-06-2025,22879.2,23026.3,22828.85,22934.5
NIFTY 500,06-06-2025,22962.0,23180.35,22891.6,23165.1
NIFTY 500,09-06-2025,23308.65,23335.35,23254.55,23330.55
NIFTY 500,10-06-2025,23422.3,23423.8,23287.35,23339.95
NIFTY 500,11-06-2025,23376.6,23423.6,23271.4,23337.85
NIFTY 500,12-06-2025,23363.5,23370.3,23009.65,23046.45
NIFTY 500,13-06-2025,22631.7,22932.25,22631.7,22906.2
NIFTY 500,16-06-2025,22914.85,23106.7,22789.4,23095.05
NIFTY 500,17-06-2025,23126.8,23128.5,22959.15,22981.5
NIFTY 500,18-06-2025,22937.75,23066.85,22868.35,22925.2
NIFTY 500,19-06-2025,22921.6,22973.15,22712.55,22763.5
NIFTY 500,20-06-2025,22760.65,23064.7,22760.6,23041.1
NIFTY 500,23-06-2025,22880.35,23063.35,22837.8,23001.5
NIFTY 500,24-06-2025,23212.3,23307.95,23074.25,23113.2
NIFTY 500,25-06-2025,23216.15,23303.65,23190.85,23296.85
NIFTY 500,26-06-2025,23341.2,23529.65,23319.85,23517.55
NIFTY 500,27-06-2025,23566.7,23644.35,23538.55,23620.15
NIFTY 500,30-06-2025,23672.35,23677.55,23563.0,23617.2
NIFTY 500,01-07-2025,23659.75,23669.95,23558.9,23615.45
NIFTY 500,02-07-2025,23653.05,23669.3,23463.85,23547.25
NIFTY 500,03-07-2025,23591.8,23647.1,23503.55,23521.85
NIFTY 500,04-07-2025,23553.45,23570.9,23448.9,23562.45
NIFTY 500,07-07-2025,23561.6,23595.3,23506.5,23551.2
NIFTY 500,08-07-2025,23540.6,23600.35,23469.95,23572.55
NIFTY 500,09-07-2025,23576.45,23613.9,23513.85,23557.45
NIFTY 500,10-07-2025,23595.85,23605.5,23444.95,23471.4
NIFTY 500,11-07-2025,23408.8,23462.35,23256.3,23282.7
NIFTY 500,14-07-2025,23290.15,23329.2,23200.1,23309.05
NIFTY 500,15-07-2025,23334.55,23469.45,23332.8,23449.15
NIFTY 500,16-07-2025,23458.9,23502.9,23403.5,23472.5
NIFTY 500,17-07-2025,23507.65,23514.7,23409.05,23419.7
NIFTY 500,18-07-2025,23430.0,23449.45,23240.85,23275.15
NIFTY 500,21-07-2025,23296.75,23394.5,23184.9,23378.45
NIFTY 500,22-07-2025,23449.75,23456.0,23306.4,23320.9
NIFTY 500,23-07-2025,23382.4,23435.55,23296.0,23428.4
NIFTY 500,24-07-2025,23447.35,23449.4,23257.6,23301.1
NIFTY 500,25-07-2025,23255.25,23255.25,22993.0,23014.8
NIFTY 500,28-07-2025,22967.4,23094.85,22818.15,22846.95
NIFTY 500,29-07-2025,22793.0,23024.15,22777.7,23007.35
NIFTY 500,30-07-2025,23064.25,23070.35,22959.45,23033.55
NIFTY 500,31-07-2025,22804.2,23071.25,22802.15,22914.95
NIFTY 500,01-08-2025,22901.6,22917.85,22646.75,22673.65
NIFTY 500,04-08-2025,22699.7,22871.6,22648.6,22860.4
NIFTY 500,05-08-2025,22869.5,22878.1,22736.05,22798.5
